This is a list of accession numbers for annual reprots on Edgar
Name: 3M Company ; Ticker: MMM ; CIK: 66740
Name: ABM Industries Incorporated ; Ticker: ABM ; CIK: 771497
YEAR 2012 ; ACN 0001193125-13-477634
YEAR 2011 ; ACN 0001193125-12-509900
YEAR 2010 ; ACN 0001193125-11-351704
YEAR 2009 ; ACN 0000950123-10-116105
YEAR 2008 ; ACN 0000950123-09-072792
YEAR 2007 ; ACN 0000950123-08-018152
YEAR 2006 ; ACN 0000950134-07-026080
YEAR 2005 ; ACN 0000950134-06-023656
YEAR 2005 ; ACN 0000950134-06-006158
YEAR 2004 ; ACN 0000950134-05-000777
YEAR 2003 ; ACN 0000950149-04-000137
YEAR 2001 ; ACN 0000950149-02-002436
YEAR 2000 ; ACN 0000950149-01-501984
YEAR 1998 ; ACN 0001047469-99-002541
YEAR 1994 ; ACN 0000912057-95-000209
Name: Acadia Realty Trust ; Ticker: AKR ; CIK: 899629
YEAR 2013 ; ACN 0000899629-14-000008
YEAR 2012 ; ACN 0000899629-13-000007
YEAR 2011 ; ACN 0001445305-12-000495
YEAR 2010 ; ACN 0000930413-11-001472
YEAR 2009 ; ACN 0000930413-10-001152
YEAR 2008 ; ACN 0000930413-09-001102
YEAR 2007 ; ACN 0000893220-08-000567
YEAR 2006 ; ACN 0000893220-07-000543
YEAR 2005 ; ACN 0000950116-06-000805
YEAR 2004 ; ACN 0000950116-05-001036
YEAR 2003 ; ACN 0000950116-04-000843
YEAR 2002 ; ACN 0000950116-03-002125
YEAR 2001 ; ACN 0000950116-02-000482
YEAR 1999 ; ACN 0000950116-00-000679
YEAR 1998 ; ACN 0000950116-99-000606
YEAR 1997 ; ACN 0000899629-98-000003
YEAR 1996 ; ACN 0000899629-97-000003
Name: Accenture plc ; Ticker: ACN ; CIK: 1467373
YEAR 2012 ; ACN 0001467373-13-000482
YEAR 2011 ; ACN 0001467373-12-000170
YEAR 2010 ; ACN 0001193125-11-277309
YEAR 2009 ; ACN 0001193125-10-235847
YEAR 2008 ; ACN 0001193125-09-209671
Name: Accretive Health, Inc. ; Ticker: ACHI ; CIK: 1472595
YEAR 2011 ; ACN 0001472595-12-000004
YEAR 2010 ; ACN 0000950123-11-026904
Name: Accuride Corporation ; Ticker: ACW ; CIK: 817979
YEAR 2013 ; ACN 0000817979-14-000008
YEAR 2012 ; ACN 0001140361-13-012998
YEAR 2011 ; ACN 0000817979-12-000025
YEAR 2010 ; ACN 0001047469-11-002734
YEAR 2009 ; ACN 0001047469-10-002892
YEAR 2008 ; ACN 0001104659-09-017677
YEAR 2007 ; ACN 0001104659-08-018033
YEAR 2006 ; ACN 0001104659-07-017839
YEAR 2005 ; ACN 0001104659-06-014682
YEAR 2004 ; ACN 0001047469-05-008619
YEAR 2003 ; ACN 0001104659-04-007780
YEAR 2002 ; ACN 0001104659-03-004670
Name: ACE Limited ; Ticker: ACE ; CIK: 896159
YEAR 2013 ; ACN 0000896159-14-000003
YEAR 2012 ; ACN 0000896159-13-000003
YEAR 2011 ; ACN 0001193125-12-078111
YEAR 2010 ; ACN 0001193125-11-047473
YEAR 2009 ; ACN 0001193125-10-040605
YEAR 2008 ; ACN 0001193125-09-040758
YEAR 2007 ; ACN 0001193125-08-042242
YEAR 2006 ; ACN 0001193125-07-043123
YEAR 2005 ; ACN 0001193125-06-056531
YEAR 2004 ; ACN 0001193125-05-052345
YEAR 2003 ; ACN 0001193125-04-040912
YEAR 2002 ; ACN 0000950131-03-001690
YEAR 2001 ; ACN 0000950131-02-000922
YEAR 2000 ; ACN 0000950131-01-001644
YEAR 1999 ; ACN 0000950131-00-002158
YEAR 1997 ; ACN 0000950131-98-006565
YEAR 1996 ; ACN 0000950131-97-007441
YEAR 1995 ; ACN 0000950131-96-006415
Name: Actuant Corporation ; Ticker: ATU ; CIK: 6955
YEAR 2012 ; ACN 0000006955-13-000013
YEAR 2011 ; ACN 0001193125-12-437816
YEAR 2010 ; ACN 0001193125-11-285382
YEAR 2009 ; ACN 0001193125-10-239211
YEAR 2008 ; ACN 0001193125-09-216254
YEAR 2007 ; ACN 0001193125-08-219025
YEAR 2006 ; ACN 0001193125-07-229345
YEAR 2005 ; ACN 0001193125-06-243784
YEAR 2004 ; ACN 0001193125-05-222624
YEAR 2003 ; ACN 0001193125-04-181607
YEAR 2002 ; ACN 0001193125-03-066628
YEAR 2001 ; ACN 0000950131-02-004523
YEAR 2000 ; ACN 0000950131-01-503986
YEAR 1998 ; ACN 0000950131-99-006556
YEAR 1997 ; ACN 0000950131-98-006204
YEAR 1996 ; ACN 0000950131-97-006854
YEAR 1994 ; ACN 0000950124-95-003836
YEAR 1993 ; ACN 0000950124-94-001757
Name: Acuity Brands, Inc. (Holding Company) ; Ticker: AYI ; CIK: 1144215
YEAR 2012 ; ACN 0001144215-13-000113
YEAR 2011 ; ACN 0001144215-12-000139
YEAR 2010 ; ACN 0001144215-11-000084
YEAR 2009 ; ACN 0000950123-10-098145
YEAR 2008 ; ACN 0001193125-09-217720
YEAR 2007 ; ACN 0001193125-08-216953
YEAR 2006 ; ACN 0001193125-07-229796
YEAR 2005 ; ACN 0001193125-06-222118
YEAR 2004 ; ACN 0001193125-05-213128
YEAR 2003 ; ACN 0001193125-04-181807
YEAR 2002 ; ACN 0001193125-03-070865
YEAR 2001 ; ACN 0000950144-02-011541
Name: Adecoagro S.A. ; Ticker: AGRO ; CIK: 1499505
Name: Advance Auto Parts, Inc. ; Ticker: AAP ; CIK: 1158449
YEAR 2013 ; ACN 0001158449-14-000058
YEAR 2012 ; ACN 0001158449-13-000069
YEAR 2011 ; ACN 0001158449-12-000029
YEAR 2010 ; ACN 0001158449-11-000008
YEAR 2009 ; ACN 0001158449-10-000032
YEAR 2008 ; ACN 0001158449-09-000027
YEAR 2007 ; ACN 0001158449-08-000043
YEAR 2006 ; ACN 0001158449-07-000040
YEAR 2005 ; ACN 0001158449-06-000037
YEAR 2004 ; ACN 0001158449-05-000070
YEAR 2003 ; ACN 0001158449-04-000010
YEAR 2002 ; ACN 0001017062-03-000555
YEAR 2001 ; ACN 0000898430-02-001066
Name: Advanced Micro Devices, Inc. ; Ticker: AMD ; CIK: 2488
YEAR 2013 ; ACN 0001193125-14-057240
YEAR 2012 ; ACN 0001193125-13-069422
YEAR 2011 ; ACN 0001193125-12-075837
YEAR 2010 ; ACN 0001193125-11-040392
YEAR 2009 ; ACN 0001193125-10-035218
YEAR 2008 ; ACN 0001193125-09-036235
YEAR 2007 ; ACN 0001193125-08-038588
YEAR 2006 ; ACN 0001193125-07-044191
YEAR 2005 ; ACN 0001193125-06-040130
YEAR 2004 ; ACN 0001193125-05-039876
YEAR 2003 ; ACN 0001193125-04-037179
YEAR 2002 ; ACN 0001012870-03-001181
YEAR 2001 ; ACN 0001012870-02-001071
YEAR 1998 ; ACN 0001012870-99-000892
YEAR 1996 ; ACN 0001012870-97-000533
YEAR 1994 ; ACN 0000950131-95-000530
YEAR 1993 ; ACN 0000891618-94-000068
Name: Advantage Oil & Gas Ltd. ; Ticker: AAV ; CIK: 1259995
Name: AECOM Technology Corporation ; Ticker: ACM ; CIK: 868857
YEAR 2012 ; ACN 0001047469-13-010484
YEAR 2011 ; ACN 0001047469-12-010679
YEAR 2010 ; ACN 0001047469-11-009697
YEAR 2009 ; ACN 0001047469-10-009946
YEAR 2008 ; ACN 0001047469-09-010452
YEAR 2007 ; ACN 0001047469-08-012648
YEAR 2006 ; ACN 0001047469-07-010009
Name: Aegean Marine Petroleum Network Inc. ; Ticker: ANW ; CIK: 1344376
Name: AerCap Holdings N.V. ; Ticker: AER ; CIK: 1378789
Name: Aeroflex Holding Corp. ; Ticker: ARX ; CIK: 1487990
